sp;Hmax;smass;esp;wood;area;ldmc;sla;dist_max;sindr;logmassmg
Anadenanthera.colubrina;5;0.075;0.066;0.732297052;NA;0.474802908;NA;1.059239826;auto;1.875061263
Bauhinia.acuruana;5;0.1003;0.270833333;0.687745768;17.94354167;0.308169556;196.0523871;0.029415958;auto;2.001300933
Bauhinia.cheilantha;5;0.1003;0.270833333;0.687745768;17.94354167;0.308169556;196.0523871;0.029415958;auto;2.001300933
Byrsonima.gardneriana;4;0.0912;0.258076923;0.612866872;12.9985;0.387414799;139.5081055;1.798458478;zoo;1.959994838
Chamaecrista.zygophylloides;8;0.018;0.1925;0.635511364;12.4395;0.190288141;169.2905339;1.439131933;anemo;1.255272505
Cnidoscolus.pubescens;6;0.02;0.163333333;0.282116353;69.57633333;0.138622964;197.3111803;1.158447822;auto;1.301029996
Commiphora.leptophloeos;10;0.0781;0.193055556;0.40153501;11.91883333;0.252948557;172.6112498;2.823149627;zoo;1.892651034
Cordia.leucomalloides;3.75;0.0068;0.271666667;0.676325005;3.890083333;0.169777402;111.463719;1.899917466;zoo;0.832508913
Crotalaria.sp..1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Croton.heliotropiifolius;4;0.0046;0.242142857;0.700629953;7.386928571;0.148199689;261.9110926;1.212625347;auto;0.662757832
Croton.nepetifolius;5.7;0.0051;0.16;0.838227054;10.26661905;0.276380381;150.2875163;1.221345981;auto;0.707570176
Croton.tricolor;5.6;0.003;0.141666667;0.586996838;5.528559524;0.247316361;172.7386734;1.232588833;auto;0.477121255
Gochnatia.oligocephala;6;0.0001;0.232;0.812373332;14.33732;0.424806022;73.93438772;1.642076962;anemo;-1
Guapira.graciliflora;6;0.0294;0.274565217;0.621214414;21.42476087;0.255807143;110.1227447;2.861816702;zoo;1.46834733
Handroanthus.impetiginosus;6;0.0115;0.165;0.615991123;80.866875;0.334521624;106.749897;2.899701674;zoo;1.06069784
Manihot.carthaginensis;6;0.2638;0.172;0.310834454;217.5471;0.231545855;162.083497;2.076191839;auto;2.421274791
Medusantha.martiusii;NA;0.001;0.199;0.529444978;1.95725;0.439171426;125.2788253;NA;auto;0.000001
Parapiptadenia.zehntneni;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Piptadenia.stipulacea;10;0.0362;0.103;0.690510858;9.243433333;0.315400796;163.0457788;1.135476635;auto;1.558708571
Pityrocarpa.moniliformis;12.5;0.0342;0.173055556;0.612039345;41.89036667;0.358331383;99.77377202;1.137710433;auto;1.534026106
Poincianella.microphylla;8;0.1752;0.168020833;0.704774487;28.48513021;0.424212616;107.2895238;0.007545712;auto;2.243534102
Schinopsis.brasiliensis;NA;0.1487;0.063;0.730224471;38.037;0.475884553;131.8800342;2.459525;anemo;2.172310969
Senegalia.bahiensis;9;0.0519;0.127222222;0.834077861;22.64422222;0.409830465;165.0593445;1.073552959;auto;1.715167358
Senegalia.piauhiensis;12;0.0478;0.125714286;0.745595947;42.91328571;0.350226229;161.2546392;1.060296129;auto;1.679427897
Senna.rizzinii;3.25;0.0342;0.185;0.710588038;18.967625;0.319032801;146.090701;1.837019307;zoo;1.534026106
Senna.sp...2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Senna.sp..1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Senna.trachypus;4.5;0.0243;0.104;0.777168331;14.2072;0.320548589;183.3568627;0.034858434;auto;1.385606274
Senna.velutina;8;0.0144;0.27;0.754576271;30.4645;0.391730614;50.35020751;1.871695846;zoo;1.158362492
Solanum.rhytidoandrum;2.3;0.0022;0.183264214;0.73036217;34.36587726;0.294268193;222.5013904;1.944018817;zoo;0.342422681
Syagrus.coronata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Trischidium.molle;4;0.1398;0.168846154;0.543813349;35.76169231;0.351156171;116.9683557;1.781708925;zoo;2.145507171
Waltheria.brachypetala;3.75;0.004;0.233571429;0.671049504;15.49514286;0.348244614;106.5515638;0.155212275;auto;0.602059991
