sp;Hmax;smass;esp;wood;area;ldmc;sla;dist_max;logmassmg;sindr;log.esp;log.wood;log.area;log.ldmc;log.sla;log.dist_max
Acalypha.brasiliensis;6;0.0006;0.138;0.260759156;5.7717;0.81636841;214.5414227;0.229353287;-0.22184875;auto;-0.860120914;-0.583760433;0.761303749;-0.088113809;2.331511156;-0.639495031
Aeschynomene.marginata;8;0.002;0.255;0.257575758;1.9165;0.64760274;245.4722222;1.947743617;0.301029996;zoo;-0.59345982;-0.589095013;0.282508824;-0.188691322;2.390002354;0.28953179
Allamanda.blanchetti;4;0;0.186842105;0.600882643;11.83894737;0.281374098;79.41365598;0.3868274;NA;anemo;-0.728525249;-0.221210341;1.07331309;-0.550715884;1.89989519;-0.412482771
Allophylus.quercifolius;5.3;0.037;0.22625;0.356018672;9.211375;0.696823908;95.36060211;2.85229575;1.568201724;zoo;-0.645411412;-0.448527224;0.964324463;-0.156876957;1.979368985;0.455194555
Amburana.cearensis;NA;NA;NA;NA;NA;NA;NA;NA;NA;anemo;NA;NA;NA;NA;NA;NA
Anacardium.occidentale;10;8.184;0.21;0.382249126;64.959;0.459390503;91.54774095;2.641297666;3.912965621;zoo;-0.677780705;-0.417653499;1.812639331;-0.337817987;1.961647632;0.421817348
Anadenanthera.colubrina;5;0.075;0.066;0.732297052;NA;0.474802908;NA;1.059239826;1.875061263;auto;-1.180456064;-0.135312714;NA;-0.32348663;NA;0.024994301
Annona.leptopetala;6;0.0588;0.169347826;0.327856587;11.62491304;0.584608647;160.9187991;2.834192577;1.769377326;zoo;-0.771220374;-0.484316086;1.065389713;-0.233134765;2.206606783;0.452429356
Apuleia.leiocarpa;NA;0.362;0.122;0.679652853;30.28428;0.40098176;206.6810879;NA;2.558708571;zoo;-0.913640169;-0.167712856;1.481217253;-0.396875382;2.315300739;NA
Aspidosperma.pyrifolium;4;0.1148;0.315;0.604314434;23.73075;0.333653552;94.85070181;2.385303228;2.059941888;anemo;-0.501689446;-0.218737033;1.375311464;-0.476704247;1.977040549;0.377543596
Balfourodendron.molle;11;0.0499;0.173333333;0.6311404;20.58708333;0.276256213;137.9947878;2.417785977;1.698100546;anemo;-0.761117912;-0.199874019;1.313594822;-0.558687946;2.139862683;0.383417854
Bauhinia.acuruana;5;0.1003;0.270833333;0.687745768;17.94354167;0.308169556;196.0523871;0.029415958;2.001300933;auto;-0.567297886;-0.162572073;1.253908168;-0.511210267;2.292372135;-1.531417003
Byrsonima.gardneriana;4;0.0912;0.258076923;0.612866872;12.9985;0.387414799;139.5081055;1.798458478;1.959994838;zoo;-0.588250828;-0.212633853;1.113893239;-0.411823794;2.144599441;0.254900415
Calliandra.aeschynomenoides;3.3;0.025;0.128333333;0.829280832;7.352333333;0.301180564;179.9870346;1.102174499;1.397940009;auto;-0.891660526;-0.081298373;0.866425188;-0.521173058;2.255241222;0.042250359
Campomanesia.eugenioides;3.2;0.0244;0.145;0.594152651;4.44375;0.15615443;366.0223924;2.868566457;1.387389826;zoo;-0.838631998;-0.226101961;0.647749618;-0.806445691;2.563507655;0.457664916
Casearia.sylvestris;7;0.004;0.105;0.498666667;4.5045;0.270423977;200.2395042;2.939235871;0.602059991;zoo;-0.978810701;-0.302189661;0.653646591;-0.567954805;2.301549761;0.468234439
Chamaecrista.zygophylloides;8;0.018;0.1925;0.635511364;12.4395;0.190288141;169.2905339;1.439131933;1.255272505;anemo;-0.715569266;-0.196876679;1.094802924;-0.720588277;2.228632675;0.15810061
Chloroleucon.foliolosum;6.15;0.063;0.088636364;0.723367329;15.41277273;0.339763192;184.5115817;2.132187405;1.799340549;auto;-1.052388068;-0.14064111;1.187880775;-0.468823672;2.266023632;0.328825374
Cnidoscolus.bahianus;6;0.02;0.163333333;0.282116353;69.57633333;0.138622964;197.3111803;1.158447822;1.301029996;auto;-0.786925176;-0.549571739;1.842461538;-0.858164819;2.295151695;0.063876477
Cnidoscolus.pubescens;7;0.02;0.232258065;0.341917952;43.87719355;0.190184904;171.2650173;1.158447822;1.301029996;auto;-0.634029196;-0.466078096;1.642238842;-0.720823958;2.233668663;0.063876477
Commiphora.leptophloeos;10;0.0781;0.193055556;0.40153501;11.91883333;0.252948557;172.6112498;2.823149627;1.892651034;zoo;-0.714317695;-0.396276582;1.076233747;-0.596967794;2.237069097;0.450733896
Cordia.bullata;3.75;0.0068;0.135;0.735244693;5.92775;0.275631876;117.8840418;1.899917466;0.832508913;zoo;-0.869666232;-0.133568102;0.772889879;-0.559670559;2.071455018;0.278734735
Cordia.curassavica;3;0.0024;0.270416667;0.597457161;20.51254167;0.305293798;114.1214724;1.899917466;0.832508913;zoo;-0.567966544;-0.223693229;1.312019476;-0.515282018;2.057367366;0.278734735
Cordia.leucocephala;4.5;0.0068;0.271666667;0.676325005;3.890083333;0.169777402;111.463719;1.899917466;0.832508913;zoo;-0.565963645;-0.169844556;0.589958905;-0.770120116;2.047133529;0.278734735
Cordia.leucomalloides;2;0.0024;0.270416667;0.597457161;20.51254167;0.305293798;114.1214724;1.899917466;0.832508913;zoo;-0.567966544;-0.223693229;1.312019476;-0.515282018;2.057367366;0.278734735
Cordia.rufescens;3;0.0024;0.32;0.53546875;24.6765;0.352419802;102.2271534;1.899917466;0.832508913;zoo;-0.494850022;-0.27126587;1.392283561;-0.452939697;2.009566268;0.278734735
Cordia.trichotoma;7;0.0024;0.30875;0.523941271;29.598875;0.259665287;119.5321792;1.940618341;0.380211242;zoo;-0.510393034;-0.280717391;1.471275205;-0.585586105;2.077484837;0.287940132
Croton.blanchetianus;NA;0.0046;0.20054;0.760951366;7.343996;0.332686689;185.2951306;1.226967407;0.662757832;auto;-0.697798989;-0.118643099;0.865932432;-0.477964575;2.267864007;0.088833026
Croton.grewioides;6.2;0.004325;0.17;0.659425368;3.125;0.3969;78.479;1.226967407;0.615816421;auto;-0.769551079;-0.18083435;0.494850022;-0.401318901;1.894753461;0.088833026
Croton.heliotropiifolius;4;0.0046;0.20054;0.760951366;7.343996;0.332686689;185.2951306;1.226967407;0.662757832;auto;-0.697798989;-0.118643099;0.865932432;-0.477964575;2.267864007;0.088833026
Croton.nepetifolius;5.7;0.0051;0.16;0.838227054;10.26661905;0.276380381;150.2875163;1.221345981;0.707570176;auto;-0.795880017;-0.076638326;1.011427448;-0.558492789;2.176922907;0.086838708
Croton.sonderianus;5.3;0.004325;0.218;0.625481948;18.2814;0.35183956;117.8760625;1.226967407;0.615816421;auto;-0.661543506;-0.20378522;1.262009451;-0.453655331;2.07142562;0.088833026
Croton.tricolor;5.6;0.003;0.141666667;0.586996838;5.528559524;0.247316361;172.7386734;1.232588833;0.477121255;auto;-0.848732324;-0.231364238;0.74261199;-0.606747152;2.23738958;0.090818229
Cynophalla.flexuosa;5;0.0706;0.435625;0.617829718;18.38525;0.469842464;47.8704716;2.827045152;1.848804701;zoo;-0.360887205;-0.209131206;1.26446954;-0.328047735;1.680067706;0.451332745
Cynophalla.hastata;2.3;0.0706;0.48;0.611111111;14.059;0.495949443;37.99356754;2.827045152;1.848804701;zoo;-0.318758763;-0.21387982;1.147954431;-0.304562593;1.579710075;0.451332745
Dahlstedtia.araripensis;4;NA;0.169166667;0.629282177;63.36208333;0.394401289;113.1944744;NA;1.838849091;anemo;-0.771685207;-0.201154568;1.801829448;-0.404061674;2.053825227;NA
Dalbergia.cearensis;5.2;0.0596;0.1775;0.629129615;39.25475;0.305314684;135.0762287;2.410922111;1.77524626;anemo;-0.750801643;-0.201259871;1.593892216;-0.515252308;2.130578927;0.38218318
Ditaxis.desertorum;4;0.001;0.2088;0.696509207;5.30084;0.290491465;193.3570966;0.209389801;0.00001;auto;-0.680269506;-0.157073138;0.724344696;-0.536866623;2.286360116;-0.679044476
Erythroxylum.revolutum;6.5;0.0638;0.237368421;0.643114093;12.20821053;0.460953126;119.8520375;1.812422123;1.804820679;zoo;-0.624577059;-0.191711973;1.08665201;-0.336343235;2.078645421;0.258259355
Erythroxylum.suberosum;4.5;0.0638;0.235;0.724519231;18.6925;0.317667047;152.2989818;2.831003139;1.804820679;zoo;-0.628932138;-0.139950083;1.271667389;-0.498027834;2.182697;0.451940351
Eugenia.brejoensis;3;0.1034;0.2925;0.606106925;11.392;0.422367329;69.24005669;2.812132894;2.014520539;zoo;-0.53387413;-0.217450754;1.056599976;-0.374309683;1.840357415;0.44903584
Eugenia.stictopetala;3.5;0.1034;0.41;0.673033708;6.2435;0.456439098;49.53625;2.812132894;2.014520539;zoo;-0.387216143;-0.171963184;0.795428116;-0.340617162;1.694923126;0.44903584
Gochnatia.oligocephala;6;0.0001;0.232;0.812373332;14.33732;0.424806022;73.93438772;1.642076962;-1;anemo;-0.634512015;-0.090244342;1.156467979;-0.371809335;1.868846481;0.215393508
Guapira.graciliflora;6;0.0294;0.274565217;0.621214414;21.42476087;0.255807143;110.1227447;2.861816702;1.46834733;zoo;-0.561354482;-0.206758476;1.330915983;-0.592087333;2.041877027;0.456641814
Handroanthus.impetiginosus;6;0.0115;0.165;0.615991123;80.866875;0.334521624;106.749897;2.899701674;1.06069784;zoo;-0.782516056;-0.210425546;1.907770661;-0.475575804;2.028367465;0.462353319
Helicteres.velutina;3.2;0.0027;0.1024;0.793054456;19.58481053;0.614544637;186.74153;NA;0.431363764;auto;-0.989700043;-0.10069699;1.291919374;-0.211446567;2.271240913;NA
Hyptis.suaveolens;1.82;0.0026;0.16;0.514155251;12.4685;0.215370705;838.8986355;1.238181332;0.414973348;zoo;-0.795880017;-0.288905724;1.09581421;-0.66681337;2.923709488;0.092784252
Jatropha.mollissima;2.2;0.4286;0.259615385;0.282717484;36.68861538;0.186767141;147.4104562;1.038636778;2.632052167;auto;-0.585669574;-0.548647333;1.564531322;-0.728699529;2.16852829;0.016463697
Jatropha.mutabilis;4;0.4286;0.267283951;0.257583598;10.16365432;0.18960402;157.8363758;1.038636778;2.632052167;auto;-0.573027118;-0.589081795;1.007049886;-0.722152459;2.1982071;0.016463697
Jatropha.ribifolia;2;0.4286;0.263449668;0.270150541;23.42613485;0.188185581;152.623416;1.038636778;2.632052167;auto;-0.579302344;-0.568394158;1.369700639;-0.725413656;2.18362117;0.016463697
Lantana.camara;4;0.0092;0.158333333;0.57192354;13.3745;0.119107429;366.8064999;1.88810408;0.963787827;zoo;-0.800427646;-0.242662028;1.126277555;-0.92406115;2.564437023;0.276025931
Libidibia.ferrea;7.5;0.11;0.094;0.662721093;38.058;0.44371416;106.5180135;NA;2.041392685;zoo;-1.026872146;-0.178669207;1.580445962;-0.352896712;2.027423058;NA
Lippia.gracilis;8;0;0.161956522;0.706557534;2.594108696;0.220718085;190.2227478;1.931897707;0.477121255;zoo;-0.790601558;-0.150852468;0.41398817;-0.656162081;2.279262451;0.285984127
Lippia.grata;4;0.003;0.158125;0.704942621;2.5351875;0.219516921;188.4031218;1.931897707;0.477121255;zoo;-0.800999461;-0.151846231;0.404010085;-0.658531997;2.275088095;0.285984127
Lonchocarpus.obtusus;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Manihot.carthaginensis;6;0.2638;0.156111111;0.367585078;198.8808889;0.254964029;326.3238814;2.076191839;2.421274791;auto;-0.806566186;-0.434642127;2.298593052;-0.593521087;2.513648858;0.31726748
Manihot.pseudoglaziovii;6;0.2638;0.172;0.310834454;217.5471;0.231545855;162.083497;2.076191839;2.421274791;auto;-0.764471553;-0.507470848;2.337553298;-0.635362989;2.209738798;0.31726748
Manilkara.salzmannii;8;0.66;0.38;0.582112971;16.2505;0.479637917;47.42708333;2.739691317;2.819543936;zoo;-0.420216403;-0.234992723;1.210866728;-0.319086492;1.676026417;0.437701633
Maytenus.rigida;4.1;0.0676;0.343333333;0.722017783;3.95375;0.507683209;51.11106252;2.828742126;1.829946696;zoo;-0.46428403;-0.141452106;0.597009205;-0.2944072;1.708514909;0.451593358
Medusantha.martiusii;NA;NA;0.199;0.529444978;1.95725;0.439171426;125.2788253;NA;NA;auto;-0.701146924;-0.276179167;0.291646302;-0.357365924;2.097877672;NA
Melochia.tomentosa;3;0.0006;0.185;0.666343919;9.7944;0.235731865;182.3756477;1.572053527;-0.22184875;anemo;-0.732828272;-0.176301561;0.990977836;-0.627581708;2.260966847;0.196467329
Mimosa.lewisii;5;0.021;0.087;0.637808929;5.38315;0.301307513;236.441209;2.183733539;1.415037584;auto;-1.060480747;-0.195309405;0.731036481;-0.520990039;2.373723171;0.339199644
Mimosa.ophthalmocentra;6.25;0.021;0.15;0.617272727;10.3155;0.311606427;100.8101288;2.175122078;1.322219295;auto;-0.823908741;-0.209522911;1.013490283;-0.506393593;2.00350417;0.337483637
Mimosa.tenuiflora;4.65;0.0322;0.042;0.594537815;8.3674;0.39670594;56.81540818;2.192345;1.507855872;auto;-1.37675071;-0.225820517;0.922590531;-0.401531297;1.754466131;0.340908898
Myriopus.rubicundus;NA;NA;NA;NA;NA;NA;NA;NA;NA;zoo;NA;NA;NA;NA;NA;NA
Myroxylon.peruiferum;5;0.284;0.143333333;0.652359383;105.0095;0.396709466;113.0475253;2.349904492;2.45331834;anemo;-0.8436528;-0.185513087;2.021228591;-0.401527437;2.05326106;0.371050211
Neocalyptrocalyx.longifolium;7;0.3744;0.343181818;0.649123988;15.70059091;0.42244289;43.80912641;1.74326581;2.57333584;zoo;-0.464475729;-0.187672341;1.195915998;-0.374231995;1.641564593;0.241363613
Oxandra.reticulata;4;0.38;0.105;0.689544895;19.2275;0.410326713;134.4519268;2.761266612;2.579783597;zoo;-0.978810701;-0.161437452;1.28392282;-0.386870209;2.12856703;0.441108342
Peltogyne.pauciflora;7.5;0.122;0.20140625;0.682159066;19.53385938;0.440432641;111.5018624;2.805668298;2.086359831;zoo;-0.695927057;-0.166114345;1.290788057;-0.356120502;2.047282121;0.448036325
Piptadenia.stipulacea;10;0.0362;0.103;0.690510858;9.243433333;0.315400796;163.0457788;1.135476635;1.558708571;auto;-0.987162775;-0.160829488;0.965833313;-0.501137215;2.21230956;0.055178202
Pityrocarpa.moniliformis;12.5;0.0342;0.173055556;0.612039345;41.89036667;0.358331383;99.77377202;1.137710433;1.534026106;auto;-0.761814453;-0.213220658;1.622114162;-0.445715154;1.999016391;0.056031741
Poincianella.microphylla;8;0.1752;0.168020833;0.704774487;28.48513021;0.424212616;107.2895238;0.007545712;2.243534102;auto;-0.774636867;-0.151949826;1.454618209;-0.37241642;2.030557318;-2.122299775
