sp;Hmax;smass;esp;wood;area;ldmc;sla;dist_max;sindr;logmassmg
Bauhinia.acuruana;5;0.1003;0.270833333;0.687745768;17.94354167;0.308169556;196.0523871;0.029415958;auto;2.001300933
Bignoniaceae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Croton.heliotropiifolius;4;0.0046;0.242142857;0.700629953;7.386928571;0.148199689;261.9110926;1.212625347;auto;0.662757832
Croton.nepetifolius;5.7;0.0051;0.16;0.838227054;10.26661905;0.276380381;150.2875163;1.221345981;auto;0.707570176
Croton.tricolor;5.6;0.003;0.141666667;0.586996838;5.528559524;0.247316361;172.7386734;1.232588833;auto;0.477121255
Ditaxis.desertorum;4;0.001;0.2088;0.696509207;5.30084;0.290491465;193.3570966;0.209389801;auto;0.00001
Erythroxylum.revolutum;6.5;0.0638;0.237368421;0.643114093;12.20821053;0.460953126;119.8520375;1.812422123;zoo;1.804820679
Handroanthus.impetiginosus;6;0.0115;0.165;0.615991123;80.866875;0.334521624;106.749897;2.899701674;zoo;1.06069784
Jatropha.mutabilis;4;0.4286;0.267283951;0.257583598;10.16365432;0.18960402;157.8363758;1.038636778;auto;2.632052167
Manihot.carthaginensis;6;0.2638;0.172;0.310834454;217.5471;0.231545855;162.083497;2.076191839;auto;2.421274791
Neocalyptrocalyx.longifolium;7;0.3744;0.311128571;0.656445335;27.14489429;0.48548943;57.76312117;1.74326581;zoo;2.57333584
Pityrocarpa.moniliformis;12.5;0.0342;0.173055556;0.612039345;41.89036667;0.358331383;99.77377202;1.137710433;auto;1.534026106
Poincianella.microphylla;8;0.1752;0.168020833;0.704774487;28.48513021;0.424212616;107.2895238;0.007545712;auto;2.243534102
Senegalia.bahiensis;9;0.0519;0.127222222;0.834077861;22.64422222;0.409830465;165.0593445;1.073552959;auto;1.715167358
Senegalia.sp.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Senna.rizzini;3.25;0.0342;0.185;0.710588038;18.967625;0.319032801;146.090701;1.837019307;zoo;1.534026106
Senna.trachypus;4.5;0.0243;0.104;0.777168331;14.2072;0.320548589;183.3568627;0.034858434;auto;1.385606274
Solanum.rhytidoandrum;2.3;0.0022;0.183264214;0.73036217;34.36587726;0.294268193;222.5013904;1.944018817;zoo;0.342422681
Trischidium.molle;4;0.1398;0.168846154;0.543813349;35.76169231;0.351156171;116.9683557;1.781708925;zoo;2.145507171
Waltheria.brachypetala;3.75;0.004;0.233571429;0.671049504;15.49514286;0.348244614;106.5515638;0.155212275;auto;0.602059991
