plot;Acalypha.brasiliensis;Aeschynomene.marginata;Allamanda.blanchetti;Allophylus.quercifolius;Amburana.cearensis;Anacardium.occidentale;Anadenanthera.colubrina;Annona.leptopetala;Apuleia.leiocarpa;Aspidosperma.pyrifolium;Balfourodendron.molle;Bauhinia.acuruana;Byrsonima.gardneriana;Calliandra.aeschynomenoides;Campomanesia.eugenioides;Casearia.sylvestris;Chamaecrista.zygophylloides;Chloroleucon.foliolosum;Cnidoscolus.bahianus;Cnidoscolus.pubescens;Commiphora.leptophloeos;Cordia.bullata;Cordia.curassavica;Cordia.leucocephala;Cordia.leucomalloides;Cordia.rufescens;Cordia.trichotoma;Croton.blanchetianus;Croton.grewioides;Croton.heliotropiifolius;Croton.nepetifolius;Croton.sonderianus;Croton.tricolor;Cynophalla.flexuosa;Cynophalla.hastata;Dahlstedtia.araripensis;Dalbergia.cearensis;Ditaxis.desertorum;Erythroxylum.revolutum;Erythroxylum.suberosum;Eugenia.brejoensis;Eugenia.stictopetala;Gochnatia.oligocephala;Guapira.graciliflora;Handroanthus.impetiginosus;Helicteres.velutina;Hyptis.suaveolens;Jatropha.mollissima;Jatropha.mutabilis;Jatropha.ribifolia;Lantana.camara;Libidibia.ferrea;Lippia.gracilis;Lippia.grata;Lonchocarpus.obtusus;Manihot.carthaginensis;Manihot.pseudoglaziovii;Manilkara.salzmannii;Maytenus.rigida;Medusantha.martiusii;Melochia.tomentosa;Mimosa.lewisii;Mimosa.ophthalmocentra;Mimosa.tenuiflora;Myriopus.rubicundus;Myroxylon.peruiferum;Neocalyptrocalyx.longifolium;Oxandra.reticulata;Peltogyne.pauciflora;Piptadenia.stipulacea;Pityrocarpa.moniliformis;Poincianella.microphylla;Poincianella.pyramidalis;Psidium.brownianum;Psidium.oligospermum;Psidium.schenckianum;Ruprechtia.laxiflora;Sapium.glandulosum;Schinopsis.brasiliensis;Senegalia.bahiensis;Senegalia.piauhiensis;Senegalia.polyphylla;Senna.rizzinii;Senna.spectabilis;Senna.splendida;Senna.trachypus;Senna.velutina;Sideroxylon.obtusifolium;Simaba.ferruginea;Solanum.rhytidoandrum;Spondias.tuberosa;Stillingia.trapezoidea;Strychnos.rubiginosa;Thiloa.glaucocarpa;Tournefortia.rubriflora;Trischidium.molle;Turnera.cearensis;Waltheria.brachypetala;Xylosma.ciliatifolia;Zanthoxylum.stelligerum;Zizyphus.joazeiro
P02;2;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;5;0;0;2;7;0;0;0;0;0;0;0;0;213;3;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;30;15;0;0;0;0;0;0;53;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
P04;1;0;0;2;0;0;0;0;0;0;0;13;4;0;0;0;0;0;0;4;5;4;0;0;0;0;0;0;5;5;30;0;0;0;0;0;0;0;19;0;0;0;0;2;0;1;3;0;7;0;0;0;24;1;0;0;6;0;0;0;0;0;0;0;0;0;2;0;23;9;32;43;0;0;5;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;5;0;0;0;4;0;0;0;3;0
P07;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;3;14;0;8;153;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;4;5;1;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P08;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;135;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;136;28;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;2;0;0;0
P10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;13;1;2;0;0;0;0;12;0;0;101;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;7
P11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;1;0;6;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;54;17;6;0;0;0;0;0;0;0;0;0;0;0;1;3;5;0;0;0;0;1;0;0;0;0;0;0;0;2;2;9
P14;0;1;0;0;0;0;0;1;0;0;0;22;2;4;0;0;0;0;0;3;7;0;0;0;0;0;0;0;5;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;2;0;0;0;0;0;70;0;0;0;0;0;0;0;66;1;37;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0
P15;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;4;5;2;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
P16;0;1;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;8;2;0;0;0;0;0;0;0;0;0;30;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;29;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;12;0;0;0
P17;0;0;0;0;1;2;0;5;0;0;14;0;0;0;0;7;12;0;6;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;2;0;0;3;0;0;0;0;1;0;13;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;90;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;27;1;0;0;0;0
