plot;Aeschynomene.marginata;Anadenanthera.colubrina;Aspidosperma.pyrifolium;Bauhinia.acuruana;Bauhinia.cheilantha;Chamaecrista.zygophylloides;Cnidoscolus.pubescens;Commiphora.leptophloeos;Cordia.leucomalloides;Croton.heliotropiifolius;Croton.nepetifolius;Croton.tricolor;Gochnatia.oligocephala;Guapira.graciliflora;Handroanthus.impetiginosus;Helicteres.velutina;Indigofera.sp.;Jatropha.mutabilis;Manihot.carthaginensis;Manilkara.salzmannii;Medusantha.martiusii;Myrtaceae.1;Neocalyptrocalyx.longifolium;Parapiptadenia.zehntneri;Parapitadenia.sp.;Peltogyne.pauciflora;Piptadenia.stipulacea;Pityrocarpa.moniliformis;Poincianella.microphylla;Schinopsis.brasiliensis;Senegalia.bahiensis;Senegalia.piauhiensis;Senna.rizzinii;Senna.sp..2;Senna.trachypus;Senna.velutina;Simaba.ferruginea;Solanum.rhytidoandrum;Trischidium.molle;Varronia.sp.;Waltheria.brachypetala
R04;0;0;0;0;0;0;3;0;0;133;19;30;0;1;0;0;0;1;0;0;0;0;0;0;2;0;8;0;0;0;4;0;0;0;0;0;0;0;0;0;0
R06;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R07;0;0;0;0;0;0;0;0;0;179;25;11;35;0;1;0;1;1;0;0;68;0;0;0;1;0;0;0;0;0;0;0;0;0;25;9;0;0;15;0;0
R10;1;0;0;0;0;0;3;0;2;28;11;0;2;0;3;0;0;1;0;0;0;6;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0
R12;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R17;0;0;0;49;0;0;2;0;0;5;35;8;1;7;0;0;0;0;0;0;52;21;0;0;0;0;26;0;0;0;2;0;0;0;0;0;0;3;1;0;0
R18;0;0;0;0;0;0;0;0;0;73;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0
R20;0;0;1;1;0;0;2;0;0;5;3;0;0;1;0;17;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0
R23;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;4;1;0;99;0;0;0;0;0;0;0;4;0;0
R35;0;0;0;0;0;0;0;0;6;4;1;33;525;370;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
R37;0;0;4;0;0;0;0;0;0;0;2;38;159;604;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0
R40;0;0;0;0;0;0;5;0;14;0;14;0;4;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0
R45;0;4;0;0;0;1;0;0;1;9;4;0;1;1;0;0;0;0;0;0;6;61;0;0;0;2;2;0;0;0;179;14;0;0;0;0;0;0;0;2;0
R50;0;0;0;0;0;0;1;1;10;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;17;4;0;0;0;0;0;0;8;0;0
R70;0;0;0;1;0;0;0;0;0;1;0;0;0;0;10;0;0;16;0;0;17;0;0;5;0;0;1;0;6;3;0;0;0;0;0;0;0;0;0;0;154
