plot;Bauhinia.acuruana;Bignoniaceae;Croton.heliotropiifolius;Croton.nepetifolius;Croton.tricolor;Ditaxis.desertorum;Erythroxylum.revolutum;Handroanthus.impetiginosus;Jatropha.mutabilis;Manihot.carthaginensis;Neocalyptrocalyx.longifolium;Pityrocarpa.moniliformis;Poincianella.microphylla;Senegalia.bahiensis;Senegalia.sp.;Senna.rizzini;Senna.trachypus;Solanum.rhytidoandrum;Trischidium.molle;Waltheria.brachypetala
4;0;0;0;1;0;0;0;0;5;0;0;2;0;0;0;0;0;0;2;0
6;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
7;0;0;0;0;0;0;0;0;1;0;0;0;0;4;0;4;0;0;0;0
10;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;0;0;0;9;0;0;0;1;8;0;0;4;1;0;0;0;0;0;0;0
17;0;0;0;5;0;0;0;0;8;0;0;0;0;0;0;0;0;0;3;0
18;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;8;0;0;0
20;0;0;0;0;0;0;0;0;8;0;0;7;0;0;2;0;0;0;0;0
23;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;4;0
30;0;0;4;0;4;0;10;0;0;0;3;0;0;1;0;0;0;0;1;0
37;0;2;0;0;0;0;0;0;0;1;0;1;0;2;0;3;0;0;2;0
40;0;0;0;0;0;0;0;0;10;9;0;9;3;3;0;2;0;0;0;0
45;0;0;3;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
50;0;0;0;0;0;0;0;0;9;2;0;0;5;9;2;0;0;0;3;0
70;0;0;0;2;0;0;0;1;10;3;0;0;10;2;0;0;0;0;0;7
