forest;parcela;gradiente;parcela ou idade;long;lat;GMDI.xavi;PPI.xavi;LPI.xavi;WEI.xavi;GMDI.tudo;PPI.tudo;LPI.tudo;WEI.tudo;     SEF;ppt_novo;biomassa (kg); S;N
;P02;controle;2;-37.19683737;-8.531343488;52.86799051;27.90266144;16.59932994;96.05903754;40.06328952;27.66796195;12.53977947;65.17419488;5.015558;666;12259.91801;21;440
;P04;controle;4;-37.35505882;-8.507241643;22.31610225;49.64746559;6.572889543;11.01991517;21.26014642;49.64746559;6.448199383;6.107219098;5.021032;605;3916.729807;32;355
;P07;controle;7;-37.39733647;-8.555353497;21.958156;30.80844674;31.62568785;1.261080972;19.93427051;30.49128704;24.64445753;0.415464357;5.010913;547;3261.26128;16;363
;P08;controle;8;-37.29934276;-8.449587813;16.87564193;23.55347886;26.41485501;0;14.35728731;23.39048612;16.98131302;0;5.011544;584;2948.674673;15;337
;P10;controle;10;-37.23010858;-8.535398346;36.71406087;25.04389862;44.62576005;30.10438814;25.33050307;24.85838548;30.78661691;12.41554263;5.012065;695;3814.282488;18;197
;P11;controle;11;-37.22477748;-8.516704157;48.27084725;23.67622447;59.93958441;44.85780558;36.14660068;23.64022694;56.46991236;14.77844784;5.007896;683;2273.591181;21;137
;P14;controle;14;-37.30463589;-8.427781241;11.00751442;19.62803813;11.49449486;3.623268609;10.85882934;19.5664084;10.19940627;1.19368938;5.035041;565;3884.581385;21;353
;P15;controle;15;-37.31740863;-8.413305426;20.37905057;22.74423687;14.80838902;21.06038903;17.99073486;22.49008487;10.25479991;16.55368432;5.027783;538;2882.203513;13;173
;P16;controle;16;-37.32593889;-8.46579915;36.37051206;50.95088751;48.52171526;3.087051657;32.16710818;50.62761965;37.19015457;1.823256024;5.019744;555;2092.807175;13;282
;P17;controle;17;-37.23288431;-8.558098988;2.742932288;7.135928121;0;5.191083831;2.867936357;7.100519781;0;1.710207636;5.054668;931;6360.70673;28;231
;P20;controle;20;-37.32220611;-8.485379967;9.071457677;16.46492772;8.546411566;4.449348186;8.313695973;16.4254236;6.158248811;1.465842103;5.013515;652;2583.597861;29;310
;P21;controle;21;-37.2963064;-8.520858074;22.43817958;5.196908619;22.21558747;33.87986149;13.69792768;5.047330013;14.57950873;15.90120357;5.10348;826;7510.481612;38;382
;P22;controle;22;-37.34281298;-8.483050981;9.146098276;15.70324113;13.51411464;0.322782527;9.714876939;15.69359715;11.6250454;0.106341018;5.005827;566;2495.177091;22;205
;P23;controle;23;-37.31178558;-8.517770081;45.76634436;63.38214863;57.5;6.915860889;36.42177202;60.86696655;38.33847934;2.855927002;5.121313;763;4176.548512;28;320
;P25;controle;25;-37.23800808;-8.475739323;19.23123469;29.6741976;21.76687762;5.277275946;16.90064846;29.56767645;16.49998166;1.738603712;5.016652;602;2217.458018;28;322
;P26;controle;26;-37.23462852;-8.494244804;31.25300113;14.35909428;20.25921257;50;19.05926582;14.33897256;19.73846028;16.47254881;5.016685;656;547.0660451;15;120
;P27;controle;27;-37.27698144;-8.511266866;26.84498061;32.92402695;26.46272988;16.82313064;24.40160614;32.67786135;18.82109378;15.60149172;5.011735;890;4868.146351;23;388
;P28;controle;28;-37.30957451;-8.537189031;26.60639362;30.45488662;39.27720226;5.533983467;22.24484285;30.12328399;28.7559802;2.384269847;5.009537;789;2041.885589;20;152
;P29;controle;29;-37.24745584;-8.570823116;26.16089503;12.50857725;9.774012618;49.34512926;21.0299622;11.68104614;8.339766678;34.99290191;5.002567;785;3608.29072;30;281
;P30;controle;30;-37.24494335;-8.516634204;58.06636191;62.97096991;54.1830093;41.33623143;42.58522029;61.03647018;35.63963092;20.82341981;5.016252;908;3906.650139;41;288
4;R04;regeneracao;4;-37.25677778;-8.554138889;43.03891059;8.341436657;47.79031872;52.62735236;24.08524242;8.607724872;19.74991404;33.75890715;5.1269277;867;541.0215726;14;213
6;R06;regeneracao;6;-37.25983333;-8.509055556;43.94673911;43.81840098;53.75990479;18.39175783;26.2247508;43.03670155;12.70177048;17.7243351;5.014028321;916;371.8662024;5;126
7;R07;regeneracao;7;-37.23616667;-8.561222222;40.7405955;17.44286132;48.18769861;38.65044574;18.4327356;17.25684232;4.555007914;27.68009559;5.000246164;845;592.3546663;12;122
10;R10;regeneracao;10;-37.30044444;-8.496805556;32.77324582;41.51362057;27.82655287;18.3751372;31.44259521;40.56497471;27.54553859;17.96633275;5.054522;757;983.8527228;13;143
12;R12;regeneracao;12;-37.30572222;-8.460722222;53.68830321;28.50422894;80.99363813;28.69308286;29.38703345;28.22076273;31.29344039;19.2733903;5.002613265;564;512.7681399;8;212
17;R17;regeneracao;17;-37.25772222;-8.562333333;53.72307982;41.39286402;74.1481375;24.53207461;32.42023653;41.37693113;24.27863771;23.00682242;5.021452927;858;872.2857761;21;213
18;R18;regeneracao;18;-37.23902778;-8.552444444;39.39100878;18.05272771;79.91140887;3.02784714;24.38142933;18.27281176;43.83738829;2.430460848;5.033957063;907;471.020862;8;101
20;R20;regeneracao;20;-37.24363889;-8.551833333;23.36168836;36.87588362;0;26.66456935;41.62600992;36.76650834;50;24.10718578;5.017266276;901;2129.54023;29;344
23;R23;regeneracao;23;-37.27619444;-8.50575;37.99976474;31.75090912;55.76965958;11.90124668;25.74833748;31.42835772;27.3510814;11.4701739;5.022382756;877;1405.508751;15;160
30;R35;regeneracao;30;-37.28894444;-8.501138889;43.48939413;58.09119167;41.53160625;17.19187908;28.84529373;57.61740423;12.15970146;12.77700127;5.016357618;860;3381.103984;24;411
37;R37;regeneracao;37;-37.23297222;-8.555805556;23.60768188;0;51.38888889;7.630315817;3.874610803;0.489202225;3.453198247;6.233328761;5.003058816;931;3854.785093;24;292
40;R40;regeneracao;40;-37.31413889;-8.507444444;34.56635527;25.53100326;43.62156876;20.81938438;21.78919965;25.38648304;14.25338367;19.65941377;5.012465207;755;1896.318099;16;207
45;R45;regeneracao;45;-37.24966667;-8.525166667;18.04924476;7.560122051;28.2361915;10.37980475;15.20170904;7.846428885;24.93845367;6.990213124;5.147554084;881;1644.175818;21;223
50;R50;regeneracao;50;-37.31083333;-8.526305556;27.00103958;26.09183763;43.49971387;1.545231092;15.66274765;26.03938375;15.95173036;2.105770952;5.00891694;750;1856.219219;13;109
70;R70;regeneracao;70;-37.31655556;-8.465277778;55.4857239;49.79359085;41.9628616;53.89332335;43.17350446;49.0956432;15.41307743;52.38143168;5.022156406;564;1511.820719;10;396
